Nombre,Autor
All these Condemned,Jhon D. MacDonald
A sight for sore eyes,Ruth Rendell
Kissin the Gunner's Daughter,Ruth Rendell
King Solomon{s Carpet,Ruth Rendell
Going Wrong,Ruth Rendell
Master of the Moor,Ruth Rendell
Wolf of the slaughter,Ruth Rendell
The quick red Fox,Jhon D. MacDonald
A most contagious game,Catgerine Aird
Night Secrets,Thomas H. Cook
The Chatham School Affair,Thomas H. Cook
Bones,Jonathan Kellerman
Deception,Jonathan Kellerman
Billy Straight,Jonathan Kellerman
The Calton Case,Ross Mac-Donald
The Ivory Grin,Ross Mac-Donald
Meet me at the Morgue,Ross Mac-Donald
The Doomsterts,Ross Mac-Donald
Death of a Salesperson,Robert Barnard
Fete Fatale,Robert Barnard
Out of the blackout,Robert Barnard
Blood Upon The Snow,Hilda Lawrence
The Pavilion,Hilda Lawrence
The players and the game,Julian Symons
The blackheath poisoning,Julian Symons
The 31st February,Julian Symons
Ceremony,Robert B. Parker
Myth to live by,Joseph Campbell
The mask of god,Joseph Campbell
Famous Honor,Robert B. Parker
Kill Flash,T. J. MacGregor
Death Flash,T. J. MacGregor
Manner of Death,Stephen White
The Lady in Black,Anna Clarke
Fin me a Villain,Margaret Yorke
No medals for the Mayor,Margaret Yorke
Graves Matters,Margaret Yorke
Under Orders,Dick Francis
Break in,Dick Francis
Whip Hand,Dick Francis
Lord Mullions Secret,Michael Innes
Criminal Damage,Margaret Yorke
The Truth,Margaret Yorke
The Enemy,Desmond Bagley
The Vivero Letter,Desmond Bagley
The Mystery Lady,Anna Clarke
Three's A Crowd,Doris Miles Disney
One more Sunday,Jhon D. MacDonald
Taming a Sea-Horse,Robert B. Parker
Omnibus,Roald Dahl
The Kamasutra of Vatsyayana,Sir Richard Burtton
Emperor The blood of gods,Conn Iggulden
